year,month,day,hour,day_of_week,temperature_F
2020,1,1,0,3,47.54
2020,1,1,1,3,46.83
2020,1,1,2,3,45.31
2020,1,1,3,3,44.49
2020,1,1,4,3,43.38
2020,1,1,5,3,42.33
2020,1,1,6,3,41.8
2020,1,1,7,3,40.91
2020,1,1,8,3,39.55
2020,1,1,9,3,37.93
2020,1,1,10,3,36.61
2020,1,1,11,3,36.53
2020,1,1,12,3,36.43
2020,1,1,13,3,36.94
2020,1,1,14,3,41.41
2020,1,1,15,3,46.73
2020,1,1,16,3,48.85
2020,1,1,17,3,50.91
2020,1,1,18,3,52.34
2020,1,1,19,3,52.83
2020,1,1,20,3,53.9
2020,1,1,21,3,54.12
2020,1,1,22,3,49.37
2020,1,1,23,3,46.66
2020,1,2,0,4,44.66
2020,1,2,1,4,43.42
2020,1,2,2,4,41.82
2020,1,2,3,4,40.41
2020,1,2,4,4,40.19
2020,1,2,5,4,39.14
2020,1,2,6,4,38.73
2020,1,2,7,4,38.5
2020,1,2,8,4,38.43
2020,1,2,9,4,38.49
2020,1,2,10,4,40.02
2020,1,2,11,4,40.11
2020,1,2,12,4,40.76
2020,1,2,13,4,40.71
2020,1,2,14,4,43.61
2020,1,2,15,4,47.77
2020,1,2,16,4,49.58
2020,1,2,17,4,50.69
2020,1,2,18,4,50.63
2020,1,2,19,4,50.07
2020,1,2,20,4,49.07
2020,1,2,21,4,48.12
2020,1,2,22,4,46.54
2020,1,2,23,4,46.27
2020,1,3,0,5,45.94
2020,1,3,1,5,45.78
2020,1,3,2,5,45.85
2020,1,3,3,5,45.82
2020,1,3,4,5,45.53
2020,1,3,5,5,44.64
2020,1,3,6,5,44.53
2020,1,3,7,5,44.44
2020,1,3,8,5,45.27
2020,1,3,9,5,46.5
2020,1,3,10,5,46.87
2020,1,3,11,5,47.2
2020,1,3,12,5,48.24
2020,1,3,13,5,49.09
2020,1,3,14,5,50.8
2020,1,3,15,5,53.14
2020,1,3,16,5,54.63
2020,1,3,17,5,56.25
2020,1,3,18,5,57.27
2020,1,3,19,5,58.16
2020,1,3,20,5,59.04
2020,1,3,21,5,58.99
2020,1,3,22,5,54.55
2020,1,3,23,5,54.22
2020,1,4,0,6,53.88
2020,1,4,1,6,53.83
2020,1,4,2,6,54.37
2020,1,4,3,6,54.65
2020,1,4,4,6,55.03
2020,1,4,5,6,55.31
2020,1,4,6,6,55.7
2020,1,4,7,6,56.45
2020,1,4,8,6,56.6
2020,1,4,9,6,56.59
2020,1,4,10,6,56.03
2020,1,4,11,6,56.17
2020,1,4,12,6,56.39
2020,1,4,13,6,56.46
2020,1,4,14,6,56.64
2020,1,4,15,6,58.07
2020,1,4,16,6,59.44
2020,1,4,17,6,61.05
2020,1,4,18,6,61.91
2020,1,4,19,6,62.08
2020,1,4,20,6,61.15
2020,1,4,21,6,59.1
2020,1,4,22,6,54.89
2020,1,4,23,6,52.16
2020,1,5,0,7,49.95
2020,1,5,1,7,48.57
2020,1,5,2,7,46.56
2020,1,5,3,7,44.45
2020,1,5,4,7,43.38
2020,1,5,5,7,41.43
2020,1,5,6,7,41.19
2020,1,5,7,7,40.44
2020,1,5,8,7,39.07
2020,1,5,9,7,37.68
2020,1,5,10,7,35.78
2020,1,5,11,7,35.35
2020,1,5,12,7,35.62
2020,1,5,13,7,35.53
2020,1,5,14,7,39.14
2020,1,5,15,7,42.97
2020,1,5,16,7,44.92
2020,1,5,17,7,47.43
2020,1,5,18,7,49.08
2020,1,5,19,7,49.94
2020,1,5,20,7,51.45
2020,1,5,21,7,51.98
2020,1,5,22,7,48.16
2020,1,5,23,7,45.22
2020,1,6,0,1,43.13
2020,1,6,1,1,42.34
2020,1,6,2,1,41.2
2020,1,6,3,1,40.23
2020,1,6,4,1,39.85
2020,1,6,5,1,39.1
2020,1,6,6,1,39.2
2020,1,6,7,1,38.55
2020,1,6,8,1,36.97
2020,1,6,9,1,36.27
2020,1,6,10,1,35.73
2020,1,6,11,1,35.7
2020,1,6,12,1,35.49
2020,1,6,13,1,35.45
2020,1,6,14,1,41.93
2020,1,6,15,1,48.93
2020,1,6,16,1,52.71
2020,1,6,17,1,55.62
2020,1,6,18,1,57.18
2020,1,6,19,1,58.07
2020,1,6,20,1,58.92
2020,1,6,21,1,58.93
2020,1,6,22,1,53.12
2020,1,6,23,1,49.15
2020,1,7,0,2,45.91
2020,1,7,1,2,44.02
2020,1,7,2,2,42.4
2020,1,7,3,2,40.32
2020,1,7,4,2,39.14
2020,1,7,5,2,37.91
2020,1,7,6,2,36.54
2020,1,7,7,2,36.43
2020,1,7,8,2,37.03
2020,1,7,9,2,37.37
2020,1,7,10,2,38.84
2020,1,7,11,2,38.85
2020,1,7,12,2,39.07
2020,1,7,13,2,39.92
2020,1,7,14,2,43.19
2020,1,7,15,2,46.68
2020,1,7,16,2,48
2020,1,7,17,2,49.02
2020,1,7,18,2,49.83
2020,1,7,19,2,50.65
2020,1,7,20,2,52.26
2020,1,7,21,2,52.42
2020,1,7,22,2,49.26
2020,1,7,23,2,46.89
2020,1,8,0,3,45.18
2020,1,8,1,3,43.74
2020,1,8,2,3,41.54
2020,1,8,3,3,39.9
2020,1,8,4,3,38.83
2020,1,8,5,3,37.26
2020,1,8,6,3,36.98
2020,1,8,7,3,35.19
2020,1,8,8,3,34.07
2020,1,8,9,3,33.62
2020,1,8,10,3,32.8
2020,1,8,11,3,32.84
2020,1,8,12,3,32.99
2020,1,8,13,3,33.7
2020,1,8,14,3,39.97
2020,1,8,15,3,47.36
2020,1,8,16,3,51.36
2020,1,8,17,3,55.48
2020,1,8,18,3,57.33
2020,1,8,19,3,58.57
2020,1,8,20,3,58.97
2020,1,8,21,3,59.3
2020,1,8,22,3,54.68
2020,1,8,23,3,51.65
2020,1,9,0,4,48.97
2020,1,9,1,4,46.43
2020,1,9,2,4,43.67
2020,1,9,3,4,40.71
